"Tongaat
Hulett’s
climate
change
risks
(in order of
determined
materiality)","1. Damage to owned assets and
built infrastructure due to extreme
weather events."
,"2. Crop and livestock varieties
performing poorly under changing
climate conditions."
,3. Uncontrollable soil erosion.
,"4. High intensity, frequent droughts,
floods and inclement weather."
,"5. Long-term water scarcity and
growing competition with
industry players."
,"6. Increase in novel crop pests and
livestock disease."
,"7. Investor distrust in the group’s ability
to respond to climate change."
,"8. Increases in post-harvest losses
and waste due to extreme
weather events."
,"9. Shifting climatic conditions rendering
process sites partially
or fully redundant."
,"10. Declining pasture productivity and
increases in livestock mortality."
,11. Unsustainable use of fossil fuels.
,"12. Social unrest due to increasing
unemployment and
climate-related migration."
,"13. Loss of diversity, ecosystem
disruption and habitat loss."
,"14. Increasing pressure from government
to lower carbon footprint."
,"15. More onerous climate-related
legislation, permits and
insurance costs."
,"16. Heat stress and other climate-related
occupational incidents."
