None,None,PROGRESS TO DATE,TARGETS,None,None,None
"ENSURE AVAILABILITY
AND SUSTAINABLE MANAGEMENT
OF WATER AND SANITATION FOR ALL",,,,,,
Target 6.1,"Achieve universal and equitable access to
safe and affordable drinking water for all.","Where not supplied by local municipalities,
particularly in Mozambique and
Zimbabwe, water is treated to potable
and supplied to employees and residents
within our communities.","Treatment of source water
to the highest standards for
potable water and supplied
to employees and other
stakeholders living within the
communities around
our mills.",,,
Target 6.2,"Achieve access to adequate and equitable
sanitation and hygiene for all and end open
defecation, paying special attention to the
needs of women and girls and those in
vulnerable situations.","Where not supplied by local municipalities,
particularly in Mozambique and
Zimbabwe, sewage is duly treated by mill
operations.
In areas where seasonal workers reside,
ventilated improved pit latrines and water
reticulation facilities are constructed to
ensure adequate and equitable sanitation
and hygiene.","Ensure adequate and
equitable sanitation and
hygiene through regular site
inspections of all housing
units, inclusive of seasonal
worker facilities, no less than
twice annually.",,,
Target 6.3,"Improve water quality by reducing pollution,
eliminating dumping and minimising release
of hazardous chemicals and materials,
halving the proportion of untreated
wastewater and substantially increasing
recycling and safe reuse globally.","All sites maintain water management plans
and test for contaminants on no less than a
monthly basis.
5 incidents of uncontrolled effluent
discharges occurred during FY2021,
the most significant of which occurred
at Maidstone.","A new effluent treatment
plant at Maidstone is
budgeted for construction,
commencing in FY2021 to
avoid future spillages.",,,
Target 6.4,"Substantially increase water-use efficiency
across all sectors and ensure sustainable
withdrawals and supply of freshwater to
address water scarcity and substantially
reduce the number of people suffering
from water scarcity.","Water efficiency improved to 494m3
per ton of sugar produced in 2021.","Improve water efficiency by
5% from FY2020 baseline
levels by the end of FY2025.",,,
Target 6.5,"Implement integrated water resources
management at all levels, including through
transboundary cooperation as appropriate.","All operations have water management
plans in place. These plans are signed off
by the general manager annually.","Update, where necessary,
as and when changes to
operations and/or water mass
balances occur.",,,
Target 6.6,"Protect and restore water-related
ecosystems, including mountains, forests,
wetlands, rivers, aquifers and lakes.","Environmental Impact Assesments (EIAs) are
conducted prior to any significant changes
to land use or facility construction. These are
approved by government authorities and
form the basis for the implementation of
water management plans.
Tongaat Hulett Developments is equally
responsible for EIAs and when properties
are developed for construction.","Review and revise, where
necessary, all water
management plans in
FY2022.
Develop and implement
biodiversity action plans at all
operations by the end
of FY2023.",,,
"ENSURE ACCESS TO AFFORDABLE,
RELIABLE, SUSTAINABLE
AND MODERN ENERGY FOR ALL",,,,,,
Target 7.1,"Ensure universal access to affordable, reliable
and modern energy services.","Within the context of Tongaat Hulett
operations and staff housing, access to
energy (electricity, LPG for manufacturing,
residential heating and cooking and other
fuel sources) is ensured through supply
agreements with third-party suppliers.","No specific targets have
been set.",,,
Target 7.2,"Increase substantially the share of renewable
energy in the global energy mix.",,,,,
