COUNTRY,,RECOGNISED UNIONS
South Africa,AMCU,The Association of Mineworkers and Construction Union.
,AMITU,African Meat Industry and Allied Trade Union.
,FAWU,Food and Allied Workers Union.
,UASA,United Association of South Africa.
Zimbabwe,SMAWUZ,Sugar Milling and Allied Workers Union of Zimbabwe.
,SPMWUZ,Sugar Production and Milling Workers Union of Zimbabwe.
,ZHCWU,Zimbabwe Hotel and Catering Workers Union.
,ZISMIWU,Zimbabwe Sugar Milling Workers Union.
Mozambique,SINTIA,Sugar Industry National Union.
Botswana,"Currently no recognised union.
Staff are represented by an employee Committee.",
