,Tangible,,,,,,,,,
,assets,Revenue,,Profit,,,,,,
Number of,other than,less other,External,before,Total tax,Total tax,Corporate,Payroll,Irrevocable,WHT and
employees,cash,income,revenue,tax,expenditure,payments,taxes,taxes,VAT2,other taxes
,Rm,Rm,%,Rm,Rm,Rm,Rm,Rm,Rm,Rm
1 073,279,2 551,104.2,1 212,304,459,317,–,25,117
1 187,273,3 536,94.1,(834),655,902,782,–,19,101
2 304,561,6 587,98.5,2 968,930,1 656,1 323,–,52,281
754,249,2 086,99.6,813,117,78,76,–,–,2
767,741,1 903,99.3,509,139,162,29,–,62,71
270,171,639,90.7,152,30,32,26,–,–,6
25 719,11 940,72 689,99.7,22 280,5 665,7 079,5 150,67,1 354,508
1 478,583,2 614,97.9,799,237,347,245,1,–,101
922,179,1 816,98.2,797,151,119,–,(1),35,85
786,691,2 857,103.1,1 904,606,454,404,–,–,50
191,55,153,0,199,17,23,20,–,–,3
35 451,15 722,97 431,,30 799,8 851,11 311,8 372,67,1547,1 325
