,Male,None,None,None,,,,Female,None,None,None,,,,Grand
Grade,Indian,African,Coloured,White,ARO,International,Total,Indian,African,Coloured,White,ARO,International,Total,total
MP,14,29,3,56,22,4,128,7,14,3,11,8,1,44,172
P,122,163,37,238,125,23,708,76,146,36,125,59,6,448,1 156
VP,350,724,180,748,424,49,2 475,307,685,172,593,213,5,1 975,4 450
AVP,329,1 416,321,592,794,65,3 517,404,1 864,546,908,573,8,4 303,7 820
BA4,101,963,228,178,968,10,2 448,196,1 742,616,520,877,5,3 956,6 404
BA3,81,1 026,224,97,1 290,–,2 718,246,2 979,940,663,1 611,–,6 439,9 157
BA2,33,540,126,27,507,–,1 233,117,1 736,437,179,825,–,3 294,4 527
BA1,–,14,–,–,567,–,581,–,18,2,–,885,–,905,1 486
,3,31,3,1,62,–,100,3,35,6,2,133,–,179,279
,1 033,4 906,1 122,1 937,4 759,151,13 908,1 356,9 219,2 758,3 001,5 184,25,21 543,35 451
