Implats Group,2023,2022
Number of employees and contractors,60 344,58 557
LTIFR,3.92,4.21
Fatal injury frequency rate (FIFR),0.040,0.056
Fatalities,5,7
Coal consumed (t),152 503,166 765
Diesel consumed (l),42 387 236,40 251 991
Electricity consumed (MWh),3 743 142,3 790 447
Propane consumed (l),12 515 530,13 548 573
Carbon emissions footprint (scope 1 and 2) (kt),4 025,4 072
Water used (Ml),53 008,51 504
Local spend with indigenous community suppliers,R3.4 billion,R3.3 billion
Socio-economic development spend including donations,R342 million,R228 million
Housing and living conditions,R313 million,R551 million
Sustainable development spend*,R655 million,R779 million
