Impala Canada,None,2023,2022
Implats ownership (%),,100,100
Number of employees and contractors,,1 156,993
LTIFR,,1.56,1.66
FIFR,,0,0
Fatalities,,0,0
Diesel consumed (l),,13 849 339,13 990 357
Electricity consumed (MWh),,325 982,308 318
Propane consumed (l),,12 515 530,13 548 573
Carbon emissions footprint (scope 1 and 2) (kt),,73,73
Water used (Ml),,8 930,8 838
Local spend with indigenous community suppliers,,"C$48 million
(R637 million)","C$40 million
(R481 million)"
Socio-economic development spend including donations,,"C$656 000
(R8.7 million)","C$440 000
(R5.3 million)"
