"Impala Rustenburg, Impala Refineries and Impala Refining Services (IRS)",None,2023,2022
Implats ownership (%),,96,96
Number of employees and contractors,,44 939,43 914
LTIFR,,4.707,5.189
FIFR,,0.033,0.066
Fatalities,,3,6
Diesel consumed (l),,4 662 329,4 658 406
Electricity consumed (MWh),,2 731 989,2 729 050
Coal consumed (t),,147 912,161 425
Carbon emissions footprint (scope 1 and 2) (kt),,3 311,3 337
Water used (Ml),,26 913,26 509
Local-to-site procurement spend with community suppliers (tier 1)*,,R1.8 billion,R1.7 billion
Socio-economic development spend including donations,,R155 million,R126 million
Housing and living conditions,,R203 million,R207 million
Sustainable development spend,,R358 million,R333 million
