Marula,None,2023,2022
Implats ownership (%),,73,73
Number of employees and contractors,,4 936,4 670
LTIFR,,4.49,3.85
FIFR,,0,0
Fatalities,,0,0
Diesel consumed (l),,3 192 876,2 154 424
Electricity consumed (MWh),,224 202,226 022
Carbon emissions footprint (scope 1 and 2) (kt),,251,246
Water used (Ml),,4 162,3 780
Local-to-site procurement spend with community suppliers (tier 1)*,,R159 million,R188 million
Socio-economic development spend including donations,,R49 million,R28 million
Housing and living conditions,,R22 million,R21 million
Sustainable development spend,,R71 million,R49 million
"* S pend with tier 1 local mine communities. Tier 1 communities at Impala Rustenburg are Royal Bafokeng Nation Villages, Freedom Park, Seraleng and
Meriteng; Tier 1 communities at Marula Mine lease are the four farms on the mine lease area.
** Afplats has been impaired and is currently non-operational.",,,
