2023,2022,2021,2020,2019
,,,,
2 144,1 866,1 664,1 541,1 353
,,,,
1 385,2 000,1 100,0,–
,,,,
,,,,
818,715,615,412,362
61,43,19,13,16
139,106,84,66,87
1 018,864,719,492,465
,,,,
80,80,78,79,81
92,90,90,90,90
97,96,95,95,94
89,83,80,81,88
,,,,
552,696,199,163,188
–,–,–,–,–
14,18,8,10,23
566,714,207,173,211
,,,,
552,696,199,163,78
–,–,–,–,–
25,11,15,9,25
577,707,214,172,103
,,,,
28 680,134 758,44 274,25 640,24 924
0,1 075,1 006,835,1 189
7 485,6 701,5 567,3 094,4 760
36 165,142 534,50 847,29 569,30 873
,,,,
78 099,88 239,33 672,11 638,10 824
–,–,–,–,–
1 033,2 507,1 300,399,1 455
79 132,90 746,35 002,12 037,12 279
,,,,
427 448,561 928,218 000,69 560,63 632
–,–,–,–,–
20 800,20 736,33 408,21 888,18 270
448 248,582 664,251 408,91 448,81 902
,,,,
99,99,99,99,99
99,99,99,99,99
