2023,,2022,2021,2020,2019
,,,,,
25 603,,25 113,24 284,22 858,23 410
1 309,,1 396,1 398,1 232,1 201
4 162,,3 780,3 472,3 130,3 209
13 003,,12 378,11 876,12 171,12 074
8 930,,8 838,9 642,3 732,–
53 007,,51 505,50 671,43 122,39 894
,,,,,
–,,–,–,–,–
–,,–,–,–,–
–,,–,–,–,–
207,,310,293,–,–
1 038,,647,–,–,–
1 245,,957,293,–,–
,,,,,
,,,,,
10 913,,11 613,10 953,9 732,10 212
542,,564,536,510,420
2 536,,2 218,1 504,1 342,1 260
5 765,,5 738,5 160,4 698,4 856
7 644,,7 417,7 716,2 812,
27 400,,27 550,25 869,19 094,16 748
,,,,,
2.62,,2.08,2.40,2.05,2.20
2.15,,1.89,1.92,1.91,1.81
1.73,,1.79,1.74,1.80,1.83
2.34,,2.39,2.47,–,–
2.25,,2.30,2.18,2.20,2.05
,,,,,
,,,,,
,,,,,
175 130,,191 305,184 583,159 796,170 663
185 493,,200 903,184 485,178 332,179 008
9 030,,6 093,6 860,6 374,6 357
69 771,,68 163,63 287,57 210,55 237
59 145,,60 784,54 602,17 652,
498 569,,527 248,493 817,419 364,411 265
,,,,,
2 792 190,,2 785 598,2 820 629,2 567 497,2 723 722
158 358,,158 780,162 458,154 492,158 562
242 138,,239 583,232 811,184 916,209 374
317 930,,347 858,344 106,313 430,326 732
13 365,,12 641,13 385,5 240,
3 523 981,,3 544 460,3 573 388,3 225 575,3 418 390
,,,,,
10 833,,10 807,11 362,10 343,10 972
614,,640,609,590,606
939,,965,914,717,843
1 931,,2 208,2 226,2 028,2 114
14,,0,0,–,–
14 331,,14 620,15 112,13 678,14 535
