,Material themes,None,Material matters,None,None,Time frame,None,Y-o-y change
1,SFP Safety performance,,"• Employee and contractor safety
• Community safety, including issues of gender-based violence
• Operational safety risks",,,"Short, medium,
and long term",,
2,"Economic and market
EM
conditions",,"• Economic volatility
• Inflation and interest rates
• Commodity prices","• Exchange rates
• Socio-political environment",,"Short, medium,
and long term",,
3,AES Access to essential services,,"• Energy security
• Water security","• Failing local infrastructure
• Policing services",,"Short to medium
term",,
4,BM Business model resilience,,Implementation of Group operational strategies to achieve such topics as:,,,,,
,,,"• Financial performance and resilience
• Balance sheet strength
• Capital management and structure
• Production per the business plan
• Business development (optimisation of
asset portfolio and market development)
• Operational excellence and efficiencies
• Organisational development","• Resource allocation (our six capitals)
• Succession and leadership capacity
• Labour availability
• Security of metal supply
• Innovation, technology and digitalisation
• Cyber security
• Sustainable development",,"Short, medium,
and long term",,
5,ES Environmental stewardship,,"• Climate change and resilience
• Clean energy consumption
• Water stewardship
• Mineral residue management
• Non-mineral waste management","• Biodiversity and reforestation
• Rehabilitation and closure
• Air quality management
• Responsible sourcing",,"Short, medium,
and long term",,
6,PM People management,,"• Industrial relations
• Employee relations
• Attract and retain scarce skills
• Health, wellness and wellbeing","• Human rights
• Diversity, equity and inclusion
• Transparency and stakeholder
engagement",,"Short, medium,
and long term",,
7,SOP Social performance,,"• Social licence to operate through our
socio-economic support and opportunities
for host communities
• Community safety
• Corporate social investment (CSI) initiatives","• Preferential procurement enterprise and
supplier development (ESD) initiatives
• Responsible sourcing
• Human rights
• Transparency and stakeholder engagement",,"Short, medium,
and long term",,
8,RC Regulatory compliance,,• Regulatory compliance,"• Transparency and stakeholder
engagement",,"Short to medium
term",,
9,BE Business ethics,,"• Governance practices
• Business integrity
• Responsible sourcing","• Human rights
• Transparency and stakeholder
engagement",,"Short, medium,
and long term",,
10,CE Customer expectations,,"• Climate change and resilience
• Clean energy consumption
• Water stewardship
• Mineral residue management
• Responsible sourcing","• Human rights
• Transparency and stakeholder
engagement
• Labour stability
• Security of metal supply",,"Short, medium,
and long term",,
