pdf,page,table_index,csv_path,nrows,ncols
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,1,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p1_t0.csv,19,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,2,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p2_t0.csv,40,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,3,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p3_t0.csv,33,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,4,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p4_t0.csv,38,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,5,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p5_t0.csv,30,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,6,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p6_t0.csv,29,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,7,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p7_t0.csv,11,16
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,9,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p9_t0.csv,13,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,10,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p10_t0.csv,7,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,11,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p11_t0.csv,5,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,11,1,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p11_t1.csv,4,6
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,12,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p12_t0.csv,4,6
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,12,1,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p12_t1.csv,16,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,13,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p13_t0.csv,11,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,13,1,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p13_t1.csv,14,1
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,14,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p14_t0.csv,10,2
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,14,1,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p14_t1.csv,8,2
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,15,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p15_t0.csv,7,5
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,16,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p16_t0.csv,8,6
2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet.pdf,17,0,/home/souhail/Desktop/financial-rag/data/processed/tables/2022-Absa-Group-limited-Environmental-Social-and-Governance-Data-sheet_p17_t0.csv,7,5
